Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-03-28,79450.6484375,79647.3084583849,77877.36827042079,78074.0282913057,25084812
2024-03-29,81023.9296875,81122.25969925668,79548.97951114988,79843.9695464199,27126366
2024-04-01,80630.6171875,81908.90745998475,80630.6171875,81810.57743902439,20116513
2024-04-02,83580.5078125,83580.5078125,81515.5776194853,81515.5776194853,37077944
2024-04-03,82695.5390625,83580.50915948275,82105.55899784483,82892.19908405172,30493347
2024-04-04,83875.5,84072.16002344666,82892.19988276671,83777.16998827667,25248934
2024-04-05,83088.8515625,83580.50157174557,82400.54154955622,83088.8515625,18883752
2024-04-08,83088.8515625,84563.80159023669,83088.8515625,83777.16157544378,18953232
2024-04-09,82203.890625,83482.18079022129,81712.24056145335,83088.86073938396,23725956
2024-04-11,82695.5390625,83285.51912715517,81122.2588900862,81810.56896551723,25538009
2024-04-12,82302.2109375,83482.17095094087,81810.56093189964,83285.51094870071,17061770
2024-04-15,80827.2734375,81810.57360097324,79843.97327402676,81515.58355193127,26663772
2024-04-16,78664.015625,79942.30587890625,78074.0355078125,79843.975859375,31949845
2024-04-17,77582.3828125,79450.65312103929,77582.3828125,79352.32310480038,22611631
2024-04-18,78270.6875,78762.33754711055,76992.39737751256,77484.04742462312,21370190
2024-04-19,76304.0859375,77385.71602166559,75025.79583803157,76992.39599105992,31317563
2024-04-22,74829.1328125,76205.75286424113,73845.83277554205,76107.42286054534,30469477
2024-04-23,74239.1640625,75517.45430463577,74239.1640625,75124.13423013245,18717699
2024-04-24,77287.3828125,77484.04281965649,75910.76276240459,76205.7527731393,22166150
2024-04-25,75025.796875,76205.75698312582,75025.796875,76009.09696510485,15549134
2024-04-26,75419.1171875,76599.07729995111,75222.45716875815,76500.74729058018,12755629
2024-04-29,75419.1171875,76304.08727183833,74927.46714064537,76107.42725309648,14664474
2024-04-30,76205.7578125,77189.05791330645,75320.78772177419,75714.10776209677,19007007
2024-05-02,76697.40625,77287.38629807692,76009.09619391026,76304.08621794872,18900640
2024-05-03,76304.0859375,77680.70604461984,76205.75592984859,77680.70604461984,13151889
2024-05-07,79942.3046875,79942.3046875,78074.0343442497,78270.6943803813,26238868
2024-05-08,79942.3046875,80040.63470556581,79155.66454297355,79450.65459717097,13089576
2024-05-09,78369.015625,80138.95575203889,78369.015625,79745.63572380804,18759935
2024-05-10,77877.3671875,79745.63735992741,77582.37716027463,79057.32729640152,16976124
2024-05-13,77090.734375,78565.68465003188,76304.09422831632,78074.03455835459,18652344
2024-05-14,76992.3984375,77484.0484913793,76599.07839439655,77287.38846982758,11763992
2024-05-16,76894.0703125,78959.00058943414,76795.74029931266,78860.6705762468,20989778
2024-05-17,76107.4296875,77484.0498627261,75910.7696624677,77287.3898376938,15918201
2024-05-20,77582.3828125,77779.04284497783,76599.0826501109,76795.74268258872,19456783
2024-05-21,77090.734375,77680.71448501275,76894.07433832908,77189.06439333546,13690583
2024-05-22,76402.421875,77385.7220278314,76009.10181386744,76795.74193613256,19521506
2024-05-23,76992.3984375,77779.0385237069,75812.43830818965,76402.41837284483,18728087
2024-05-24,74632.4765625,75714.10665760869,74435.8165452075,75517.44664031621,27891278
2024-05-27,75910.765625,76894.0656978627,72764.20539183938,74042.49548656087,43825202
2024-05-28,76304.0859375,76697.40596810567,74927.46583038016,75222.45585333441,18539072
2024-05-29,73944.1640625,76894.06422456782,73944.1640625,76402.41419755651,30244875
2024-05-30,72272.5546875,73944.16479591836,72272.5546875,73550.84477040816,28551273
2024-05-31,72272.5546875,73452.51476403061,72272.5546875,73255.8547512755,26198776
2024-06-03,74435.8125,75124.12252311756,72960.86245046234,73157.52245706737,15706268
2024-06-04,74042.5,74829.1401062417,73649.17994687914,73649.17994687914,14098053
2024-06-05,76107.4296875,76697.4097625969,75517.4496124031,76697.4097625969,23177968
2024-06-07,76009.09375,77287.38381306597,75812.43374029755,77090.72380336352,21189349
2024-06-10,74435.8125,75320.7825297226,74337.48249669748,74829.13251321003,14598755
2024-06-11,73944.1640625,74730.80410571808,73845.83405709773,74632.47410031583,16971175
2024-06-12,75222.4609375,75812.44102328432,73944.170751634,74042.50076593137,19246725
2024-06-13,77287.3828125,77680.70282681298,76500.74278387404,77090.72280534351,33763804
